topology,minority_ratio,position_config,model_condition,mean_rho,std_rho,n
chain,0.1,0,prompt_induced,1.105283035171838,0.7444014946608605,450
chain,0.1,1,prompt_induced,1.2332075290749744,0.8828778864790225,450
chain,0.1,2,prompt_induced,1.241853441527388,0.9131780779393585,450
chain,0.2,0,prompt_induced,1.1756804412477786,0.9269499436503431,400
chain,0.2,1,prompt_induced,1.264317463089101,0.9166735562040295,400
chain,0.2,2,prompt_induced,1.299228972159666,0.9892661787214663,400
chain,0.3,0,prompt_induced,1.1557194679368497,0.9374788952925377,350
chain,0.3,1,prompt_induced,1.3154403733286586,1.0011449603041964,350
chain,0.3,2,prompt_induced,1.3136032453355155,1.026089338581466,350
circle,0.1,0,prompt_induced,0.9726977461050688,0.4773326463420811,450
circle,0.2,0,prompt_induced,1.0189103608800152,0.7214297349565633,400
circle,0.3,0,prompt_induced,0.9665781111476985,0.5131606457399862,350
fc,0.1,0,prompt_induced,0.6822735458777437,0.2402374559928154,450
fc,0.2,0,prompt_induced,0.6752016209254467,0.22936838843015875,400
fc,0.3,0,prompt_induced,0.7011305971562455,0.28446691356515263,350
star,0.1,0,prompt_induced,0.883521873895769,0.2934556720488611,450
star,0.1,1,prompt_induced,1.090345269090883,0.7424585110859482,450
star,0.2,0,prompt_induced,0.9199318573466547,0.4236940558227088,400
star,0.2,1,prompt_induced,1.1293475760565541,0.6651629978559418,400
star,0.3,0,prompt_induced,0.9204676906933316,0.4423599026680993,350
star,0.3,1,prompt_induced,1.1232550469335079,0.7432728167452908,350
